Scenario - oddball3
Logfile written - 05/20/2016 13:47:58

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN10-s3	1	Sound	8	173690	0	2			0		other	0
PPN10-s3	3	Sound	4	196741	0	2			0		other	0
PPN10-s3	5	Sound	4	220139	0	2			0		other	0
PPN10-s3	7	Sound	4	243539	0	2			0		other	0
PPN10-s3	9	Sound	6	266938	0	2			0		other	0
PPN10-s3	11	Sound	4	290338	0	2			0		other	0
PPN10-s3	13	Sound	6	313737	0	2			0		other	0
PPN10-s3	15	Sound	4	337137	0	2			0		other	0
PPN10-s3	17	Sound	4	360537	0	2			0		other	0
PPN10-s3	19	Sound	4	383936	0	2			0		other	0
PPN10-s3	21	Sound	4	407335	0	2			0		other	0
PPN10-s3	23	Sound	4	430734	0	2			0		other	0
PPN10-s3	25	Sound	4	454134	0	2			0		other	0
PPN10-s3	27	Sound	4	477534	0	2			0		other	0
PPN10-s3	29	Sound	4	500933	0	2			0		other	0
PPN10-s3	31	Sound	4	524333	0	2			0		other	0
PPN10-s3	33	Sound	4	547732	0	2			0		other	0
PPN10-s3	35	Sound	4	571132	0	2			0		other	0
PPN10-s3	37	Sound	8	594530	0	2			0		other	0
PPN10-s3	39	Sound	4	618230	0	2			0		other	0
PPN10-s3	41	Sound	8	641629	0	2			0		other	0
PPN10-s3	43	Sound	4	665229	0	2			0		other	0
PPN10-s3	45	Sound	4	688629	0	2			0		other	0
PPN10-s3	47	Sound	4	712028	0	2			0		other	0
PPN10-s3	49	Sound	8	735428	0	2			0		other	0
PPN10-s3	51	Sound	4	759427	0	2			0		other	0
PPN10-s3	53	Sound	8	782826	0	2			0		other	0
PPN10-s3	55	Sound	4	806825	0	2			0		other	0
PPN10-s3	57	Sound	6	830225	0	2			0		other	0
PPN10-s3	59	Sound	4	853625	0	2			0		other	0
PPN10-s3	61	Sound	4	877025	0	2			0		other	0
PPN10-s3	63	Sound	4	900424	0	2			0		other	0
PPN10-s3	65	Sound	4	923823	0	2			0		other	0
PPN10-s3	67	Sound	4	947222	0	2			0		other	0
PPN10-s3	69	Sound	4	970622	0	2			0		other	0
PPN10-s3	71	Sound	4	994021	0	2			0		other	0
PPN10-s3	73	Sound	6	1017421	0	2			0		other	0
PPN10-s3	75	Sound	4	1040821	0	2			0		other	0
