Scenario - oddball3
Logfile written - 05/23/2016 14:41:30

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN12-S4	1	Sound	4	175010	0	2			0		other	0
PPN12-S4	3	Sound	8	198406	0	2			0		other	0
PPN12-S4	5	Sound	4	221905	0	2			0		other	0
PPN12-S4	7	Sound	6	245304	0	2			0		other	0
PPN12-S4	9	Sound	4	268704	0	2			0		other	0
PPN12-S4	11	Sound	8	292103	0	2			0		other	0
PPN12-S4	13	Sound	4	315703	0	2			0		other	0
PPN12-S4	15	Sound	4	339102	0	2			0		other	0
PPN12-S4	17	Sound	4	362502	0	2			0		other	0
PPN12-S4	19	Sound	8	385902	0	2			0		other	0
PPN12-S4	21	Sound	4	409801	0	2			0		other	0
PPN12-S4	23	Sound	4	433200	0	2			0		other	0
PPN12-S4	25	Sound	4	456599	0	2			0		other	0
PPN12-S4	27	Sound	4	479998	0	2			0		other	0
PPN12-S4	29	Sound	4	503398	0	2			0		other	0
PPN12-S4	31	Sound	4	526798	0	2			0		other	0
PPN12-S4	33	Sound	4	550197	0	2			0		other	0
PPN12-S4	35	Sound	8	573597	0	2			0		other	0
PPN12-S4	37	Sound	4	597596	0	2			0		other	0
PPN12-S4	39	Sound	4	620995	0	2			0		other	0
PPN12-S4	41	Sound	4	644395	0	2			0		other	0
PPN12-S4	43	Sound	6	667794	0	2			0		other	0
PPN12-S4	45	Sound	4	691194	0	2			0		other	0
PPN12-S4	47	Sound	6	714593	0	2			0		other	0
PPN12-S4	49	Sound	4	737993	0	2			0		other	0
PPN12-S4	51	Sound	4	761393	0	2			0		other	0
PPN12-S4	53	Sound	4	784792	0	2			0		other	0
PPN12-S4	55	Sound	4	808191	0	2			0		other	0
PPN12-S4	57	Sound	4	831590	0	2			0		other	0
PPN12-S4	59	Sound	8	854990	0	2			0		other	0
PPN12-S4	61	Sound	4	878189	0	2			0		other	0
PPN12-S4	63	Sound	6	901589	0	2			0		other	0
PPN12-S4	65	Sound	4	924989	0	2			0		other	0
PPN12-S4	67	Sound	4	948388	0	2			0		other	0
PPN12-S4	69	Sound	4	971787	0	2			0		other	0
PPN12-S4	71	Sound	8	995186	0	2			0		other	0
PPN12-S4	73	Sound	4	1018786	0	2			0		other	0
PPN12-S4	75	Sound	4	1042186	0	2			0		other	0
PPN12-S4	77	Sound	4	1065585	0	2			0		other	0
PPN12-S4	79	Sound	4	1088984	0	2			0		other	0
PPN12-S4	81	Sound	4	1112385	0	2			0		other	0
PPN12-S4	83	Sound	4	1135783	0	2			0		other	0
PPN12-S4	85	Sound	4	1159183	0	2			0		other	0
PPN12-S4	87	Sound	4	1182582	0	2			0		other	0
PPN12-S4	89	Sound	4	1205982	0	2			0		other	0
PPN12-S4	91	Sound	4	1229382	0	2			0		other	0
PPN12-S4	93	Sound	4	1252781	0	2			0		other	0
PPN12-S4	95	Sound	6	1276180	0	2			0		other	0
PPN12-S4	97	Sound	4	1299579	0	2			0		other	0
PPN12-S4	99	Sound	8	1322979	0	2			0		other	0
PPN12-S4	101	Sound	4	1346078	0	2			0		other	0
PPN12-S4	103	Sound	6	1369477	0	2			0		other	0
PPN12-S4	105	Sound	4	1392878	0	2			0		other	0
PPN12-S4	107	Sound	8	1416277	0	2			0		other	0
PPN12-S4	109	Sound	4	1438876	0	2			0		other	0
PPN12-S4	111	Sound	6	1462276	0	2			0		other	0
PPN12-S4	113	Sound	4	1485675	0	2			0		other	0
PPN12-S4	115	Sound	4	1509075	0	2			0		other	0
PPN12-S4	117	Sound	4	1532473	0	2			0		other	0
PPN12-S4	119	Sound	4	1555873	0	2			0		other	0
PPN12-S4	121	Sound	4	1579273	0	2			0		other	0
PPN12-S4	123	Sound	6	1602673	0	2			0		other	0
PPN12-S4	125	Sound	4	1626072	0	2			0		other	0
PPN12-S4	127	Sound	6	1649471	0	2			0		other	0
PPN12-S4	129	Sound	4	1672871	0	2			0		other	0
PPN12-S4	131	Sound	8	1696270	0	2			0		other	0
PPN12-S4	133	Sound	4	1720069	0	2			0		other	0
PPN12-S4	135	Sound	6	1743470	0	2			0		other	0
PPN12-S4	137	Sound	4	1766869	0	2			0		other	0
PPN12-S4	139	Sound	4	1790268	0	2			0		other	0
PPN12-S4	141	Sound	4	1813668	0	2			0		other	0
PPN12-S4	143	Sound	4	1837067	0	2			0		other	0
PPN12-S4	145	Sound	4	1860466	0	2			0		other	0
PPN12-S4	147	Sound	4	1883865	0	2			0		other	0
PPN12-S4	149	Sound	4	1907265	0	2			0		other	0
PPN12-S4	151	Sound	4	1930665	0	2			0		other	0
PPN12-S4	153	Sound	4	1954064	0	2			0		other	0
PPN12-S4	155	Sound	4	1977464	0	2			0		other	0
PPN12-S4	157	Sound	4	2000863	0	2			0		other	0
PPN12-S4	159	Sound	8	2024262	0	2			0		other	0
PPN12-S4	161	Sound	4	2048361	0	2			0		other	0
