Scenario - oddball3
Logfile written - 05/25/2016 10:18:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN14_D1	1	Sound	24	202621	0	2			0		other	0
PPN14_D1	3	Sound	24	225956	0	2			0		other	0
PPN14_D1	5	Sound	26	249355	0	2			0		other	0
PPN14_D1	7	Sound	24	272755	0	2			0		other	0
PPN14_D1	9	Sound	28	296155	0	2			0		other	0
PPN14_D1	11	Sound	24	319855	0	2			0		other	0
PPN14_D1	13	Sound	24	343255	0	2			0		other	0
PPN14_D1	15	Sound	24	366654	0	2			0		other	0
PPN14_D1	17	Sound	24	390054	0	2			0		other	0
PPN14_D1	19	Sound	24	413453	0	2			0		other	0
PPN14_D1	21	Sound	24	436853	0	2			0		other	0
PPN14_D1	23	Sound	28	460253	0	2			0		other	0
PPN14_D1	25	Sound	24	481952	0	2			0		other	0
PPN14_D1	27	Sound	28	505352	0	2			0		other	0
PPN14_D1	29	Sound	24	529452	0	2			0		other	0
PPN14_D1	31	Sound	24	552852	0	2			0		other	0
PPN14_D1	33	Sound	24	576251	0	2			0		other	0
PPN14_D1	35	Sound	26	599651	0	2			0		other	0
PPN14_D1	37	Sound	24	623051	0	2			0		other	0
PPN14_D1	39	Sound	24	646450	0	2			0		other	0
PPN14_D1	41	Sound	24	669850	0	2			0		other	0
PPN14_D1	43	Sound	28	693250	0	2			0		other	0
PPN14_D1	45	Sound	24	716349	0	2			0		other	0
PPN14_D1	47	Sound	24	739749	0	2			0		other	0
PPN14_D1	49	Sound	24	763148	0	2			0		other	0
PPN14_D1	51	Sound	24	786548	0	2			0		other	0
PPN14_D1	53	Sound	24	809948	0	2			0		other	0
PPN14_D1	55	Sound	24	833348	0	2			0		other	0
PPN14_D1	57	Sound	24	856747	0	2			0		other	0
PPN14_D1	59	Sound	26	880147	0	2			0		other	0
PPN14_D1	61	Sound	24	903547	0	2			0		other	0
PPN14_D1	63	Sound	24	926946	0	2			0		other	0
PPN14_D1	65	Sound	24	950346	0	2			0		other	0
PPN14_D1	67	Sound	24	973745	0	2			0		other	0
PPN14_D1	69	Sound	24	997145	0	2			0		other	0
PPN14_D1	71	Sound	26	1020545	0	2			0		other	0
PPN14_D1	73	Sound	24	1043944	0	2			0		other	0
PPN14_D1	75	Sound	28	1067345	0	2			0		other	0
PPN14_D1	77	Sound	24	1089844	0	2			0		other	0
PPN14_D1	79	Sound	24	1113244	0	2			0		other	0
PPN14_D1	81	Sound	24	1136644	0	2			0		other	0
PPN14_D1	83	Sound	28	1160043	0	2			0		other	0
PPN14_D1	85	Sound	24	1184143	0	2			0		other	0
PPN14_D1	87	Sound	24	1207542	0	2			0		other	0
PPN14_D1	89	Sound	24	1230942	0	2			0		other	0
PPN14_D1	91	Sound	28	1254342	0	2			0		other	0
PPN14_D1	93	Sound	24	1278241	0	2			0		other	0
PPN14_D1	95	Sound	24	1301641	0	2			0		other	0
PPN14_D1	97	Sound	24	1325041	0	2			0		other	0
PPN14_D1	99	Sound	26	1348440	0	2			0		other	0
PPN14_D1	101	Sound	24	1371840	0	2			0		other	0
PPN14_D1	103	Sound	26	1395240	0	2			0		other	0
PPN14_D1	105	Sound	24	1418639	0	2			0		other	0
PPN14_D1	107	Sound	24	1442039	0	2			0		other	0
PPN14_D1	109	Sound	24	1465439	0	2			0		other	0
PPN14_D1	111	Sound	24	1488839	0	2			0		other	0
PPN14_D1	113	Sound	24	1512238	0	2			0		other	0
PPN14_D1	115	Sound	24	1535638	0	2			0		other	0
PPN14_D1	117	Sound	24	1559038	0	2			0		other	0
PPN14_D1	119	Sound	24	1582437	0	2			0		other	0
PPN14_D1	121	Sound	24	1605837	0	2			0		other	0
PPN14_D1	123	Sound	24	1629237	0	2			0		other	0
PPN14_D1	125	Sound	24	1652637	0	2			0		other	0
PPN14_D1	127	Sound	26	1676036	0	2			0		other	0
PPN14_D1	129	Sound	24	1699436	0	2			0		other	0
PPN14_D1	131	Sound	28	1722835	0	2			0		other	0
PPN14_D1	133	Sound	24	1746535	0	2			0		other	0
PPN14_D1	135	Sound	24	1769935	0	2			0		other	0
PPN14_D1	137	Sound	24	1793334	0	2			0		other	0
PPN14_D1	139	Sound	26	1816734	0	2			0		other	0
PPN14_D1	141	Sound	24	1840134	0	2			0		other	0
PPN14_D1	143	Sound	24	1863533	0	2			0		other	0
PPN14_D1	145	Sound	24	1886933	0	2			0		other	0
PPN14_D1	147	Sound	24	1910333	0	2			0		other	0
PPN14_D1	149	Sound	24	1933732	0	2			0		other	0
PPN14_D1	151	Sound	28	1957132	0	2			0		other	0
PPN14_D1	153	Sound	24	1980132	0	2			0		other	0
PPN14_D1	155	Sound	26	2003531	0	2			0		other	0
PPN14_D1	157	Sound	24	2026932	0	2			0		other	0
PPN14_D1	159	Sound	24	2050330	0	2			0		other	0
PPN14_D1	161	Sound	24	2073731	0	2			0		other	0
PPN14_D1	163	Sound	24	2097130	0	2			0		other	0
PPN14_D1	165	Sound	24	2120530	0	2			0		other	0
PPN14_D1	167	Sound	24	2143929	0	2			0		other	0
PPN14_D1	169	Sound	24	2167329	0	2			0		other	0
PPN14_D1	171	Sound	24	2190729	0	2			0		other	0
PPN14_D1	173	Sound	24	2214128	0	2			0		other	0
PPN14_D1	175	Sound	24	2237528	0	2			0		other	0
PPN14_D1	177	Sound	24	2260928	0	2			0		other	0
PPN14_D1	179	Sound	26	2284327	0	2			0		other	0
PPN14_D1	181	Sound	24	2307727	0	2			0		other	0
PPN14_D1	183	Sound	26	2331127	0	2			0		other	0
PPN14_D1	185	Sound	24	2354527	0	2			0		other	0
PPN14_D1	187	Sound	28	2377926	0	2			0		other	0
PPN14_D1	189	Sound	24	2401026	0	2			0		other	0
PPN14_D1	191	Sound	24	2424425	0	2			0		other	0
PPN14_D1	193	Sound	24	2447825	0	2			0		other	0
PPN14_D1	195	Sound	24	2471225	0	2			0		other	0
PPN14_D1	197	Sound	24	2494625	0	2			0		other	0
PPN14_D1	199	Sound	28	2518024	0	2			0		other	0
PPN14_D1	201	Sound	24	2542024	0	2			0		other	0
PPN14_D1	203	Sound	24	2565424	0	2			0		other	0
PPN14_D1	205	Sound	24	2588823	0	2			0		other	0
PPN14_D1	207	Sound	24	2612223	0	2			0		other	0
PPN14_D1	209	Sound	24	2635623	0	2			0		other	0
PPN14_D1	211	Sound	24	2659023	0	2			0		other	0
PPN14_D1	213	Sound	24	2682422	0	2			0		other	0
PPN14_D1	215	Sound	24	2705822	0	2			0		other	0
PPN14_D1	217	Sound	24	2729221	0	2			0		other	0
PPN14_D1	219	Sound	24	2752621	0	2			0		other	0
PPN14_D1	221	Sound	24	2776021	0	2			0		other	0
PPN14_D1	223	Sound	28	2799421	0	2			0		other	0
PPN14_D1	225	Sound	24	2822920	0	2			0		other	0
PPN14_D1	227	Sound	24	2846320	0	2			0		other	0
PPN14_D1	229	Sound	24	2869719	0	2			0		other	0
PPN14_D1	231	Sound	26	2893119	0	2			0		other	0
PPN14_D1	233	Sound	24	2916519	0	2			0		other	0
PPN14_D1	235	Sound	28	2939918	0	2			0		other	0
PPN14_D1	237	Sound	24	2963918	0	2			0		other	0
PPN14_D1	239	Sound	26	2987318	0	2			0		other	0
PPN14_D1	241	Sound	24	3010718	0	2			0		other	0
PPN14_D1	243	Sound	24	3034117	0	2			0		other	0
PPN14_D1	245	Sound	24	3057517	0	2			0		other	0
PPN14_D1	247	Sound	24	3080917	0	2			0		other	0
PPN14_D1	249	Sound	24	3104316	0	2			0		other	0
PPN14_D1	251	Sound	24	3127716	0	2			0		other	0
PPN14_D1	253	Sound	24	3151115	0	2			0		other	0
PPN14_D1	255	Sound	24	3174515	0	2			0		other	0
PPN14_D1	257	Sound	24	3197915	0	2			0		other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Sound	24	other				202621	2			0
Sound	24	other				225956	2			0
Sound	26	other				249355	2			0
Sound	24	other				272755	2			0
Sound	28	other				296155	2			0
Sound	24	other				319855	2			0
Sound	24	other				343255	2			0
Sound	24	other				366654	2			0
Sound	24	other				390054	2			0
Sound	24	other				413453	2			0
Sound	24	other				436853	2			0
Sound	28	other				460253	2			0
Sound	24	other				481952	2			0
Sound	28	other				505352	2			0
Sound	24	other				529452	2			0
Sound	24	other				552852	2			0
Sound	24	other				576251	2			0
Sound	26	other				599651	2			0
Sound	24	other				623051	2			0
Sound	24	other				646450	2			0
Sound	24	other				669850	2			0
Sound	28	other				693250	2			0
Sound	24	other				716349	2			0
Sound	24	other				739749	2			0
Sound	24	other				763148	2			0
Sound	24	other				786548	2			0
Sound	24	other				809948	2			0
Sound	24	other				833348	2			0
Sound	24	other				856747	2			0
Sound	26	other				880147	2			0
Sound	24	other				903547	2			0
Sound	24	other				926946	2			0
Sound	24	other				950346	2			0
Sound	24	other				973745	2			0
Sound	24	other				997145	2			0
Sound	26	other				1020545	2			0
Sound	24	other				1043944	2			0
Sound	28	other				1067345	2			0
Sound	24	other				1089844	2			0
Sound	24	other				1113244	2			0
Sound	24	other				1136644	2			0
Sound	28	other				1160043	2			0
Sound	24	other				1184143	2			0
Sound	24	other				1207542	2			0
Sound	24	other				1230942	2			0
Sound	28	other				1254342	2			0
Sound	24	other				1278241	2			0
Sound	24	other				1301641	2			0
Sound	24	other				1325041	2			0
Sound	26	other				1348440	2			0
Sound	24	other				1371840	2			0
Sound	26	other				1395240	2			0
Sound	24	other				1418639	2			0
Sound	24	other				1442039	2			0
Sound	24	other				1465439	2			0
Sound	24	other				1488839	2			0
Sound	24	other				1512238	2			0
Sound	24	other				1535638	2			0
Sound	24	other				1559038	2			0
Sound	24	other				1582437	2			0
Sound	24	other				1605837	2			0
Sound	24	other				1629237	2			0
Sound	24	other				1652637	2			0
Sound	26	other				1676036	2			0
Sound	24	other				1699436	2			0
Sound	28	other				1722835	2			0
Sound	24	other				1746535	2			0
Sound	24	other				1769935	2			0
Sound	24	other				1793334	2			0
Sound	26	other				1816734	2			0
Sound	24	other				1840134	2			0
Sound	24	other				1863533	2			0
Sound	24	other				1886933	2			0
Sound	24	other				1910333	2			0
Sound	24	other				1933732	2			0
Sound	28	other				1957132	2			0
Sound	24	other				1980132	2			0
Sound	26	other				2003531	2			0
Sound	24	other				2026932	2			0
Sound	24	other				2050330	2			0
Sound	24	other				2073731	2			0
Sound	24	other				2097130	2			0
Sound	24	other				2120530	2			0
Sound	24	other				2143929	2			0
Sound	24	other				2167329	2			0
Sound	24	other				2190729	2			0
Sound	24	other				2214128	2			0
Sound	24	other				2237528	2			0
Sound	24	other				2260928	2			0
Sound	26	other				2284327	2			0
Sound	24	other				2307727	2			0
Sound	26	other				2331127	2			0
Sound	24	other				2354527	2			0
Sound	28	other				2377926	2			0
Sound	24	other				2401026	2			0
Sound	24	other				2424425	2			0
Sound	24	other				2447825	2			0
Sound	24	other				2471225	2			0
Sound	24	other				2494625	2			0
Sound	28	other				2518024	2			0
Sound	24	other				2542024	2			0
Sound	24	other				2565424	2			0
Sound	24	other				2588823	2			0
Sound	24	other				2612223	2			0
Sound	24	other				2635623	2			0
Sound	24	other				2659023	2			0
Sound	24	other				2682422	2			0
Sound	24	other				2705822	2			0
Sound	24	other				2729221	2			0
Sound	24	other				2752621	2			0
Sound	24	other				2776021	2			0
Sound	28	other				2799421	2			0
Sound	24	other				2822920	2			0
Sound	24	other				2846320	2			0
Sound	24	other				2869719	2			0
Sound	26	other				2893119	2			0
Sound	24	other				2916519	2			0
Sound	28	other				2939918	2			0
Sound	24	other				2963918	2			0
Sound	26	other				2987318	2			0
Sound	24	other				3010718	2			0
Sound	24	other				3034117	2			0
Sound	24	other				3057517	2			0
Sound	24	other				3080917	2			0
Sound	24	other				3104316	2			0
Sound	24	other				3127716	2			0
Sound	24	other				3151115	2			0
Sound	24	other				3174515	2			0
Sound	24	other				3197915	2			0
