Scenario - oddball3
Logfile written - 05/26/2016 13:58:47

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN17-D3	1	Sound	26	174127	0	2			0		other	0
PPN17-D3	2	Response	1	183707	6225	2
PPN17-D3	3	Sound	24	197498	0	2			0		other	0
PPN17-D3	5	Sound	26	220881	0	2			0		other	0
PPN17-D3	6	Response	1	227068	2788	2
PPN17-D3	7	Sound	24	244304	0	1			0		other	0
PPN17-D3	9	Sound	26	267681	0	2			0		other	0
PPN17-D3	10	Response	1	271428	347	1
PPN17-D3	11	Sound	24	291105	0	2			0		other	0
PPN17-D3	13	Sound	26	314480	0	2			0		other	0
PPN17-D3	14	Response	1	320823	2943	2
PPN17-D3	15	Sound	24	337904	0	2			0		other	0
PPN17-D3	17	Sound	26	361279	0	2			0		other	0
PPN17-D3	18	Response	1	370996	6317	1
PPN17-D3	19	Sound	24	384703	0	2			0		other	0
PPN17-D3	21	Sound	24	408078	0	2			0		other	0
PPN17-D3	23	Sound	24	431478	0	2			0		other	0
PPN17-D3	25	Sound	28	454878	0	2			0		other	0
PPN17-D3	27	Sound	24	478977	0	2			0		other	0
PPN17-D3	29	Sound	24	502378	0	2			0		other	0
PPN17-D3	31	Sound	24	525777	0	2			0		other	0
PPN17-D3	33	Sound	28	549176	0	2			0		other	0
PPN17-D3	35	Sound	24	573176	0	2			0		other	0
PPN17-D3	37	Sound	28	596575	0	2			0		other	0
PPN17-D3	39	Sound	24	620575	0	2			0		other	0
PPN17-D3	41	Sound	24	643975	0	2			0		other	0
PPN17-D3	43	Sound	24	667375	0	2			0		other	0
PPN17-D3	45	Sound	24	690775	0	2			0		other	0
PPN17-D3	47	Sound	24	714174	0	2			0		other	0
PPN17-D3	49	Sound	24	737573	0	2			0		other	0
PPN17-D3	51	Sound	24	760973	0	2			0		other	0
PPN17-D3	53	Sound	28	784373	0	2			0		other	0
PPN17-D3	55	Sound	24	808172	0	2			0		other	0
PPN17-D3	57	Sound	24	831573	0	2			0		other	0
PPN17-D3	59	Sound	24	854972	0	2			0		other	0
PPN17-D3	61	Sound	24	878371	0	2			0		other	0
PPN17-D3	63	Sound	24	901770	0	2			0		other	0
PPN17-D3	65	Sound	24	925170	0	2			0		other	0
PPN17-D3	67	Sound	24	948570	0	2			0		other	0
PPN17-D3	69	Sound	24	971971	0	2			0		other	0
PPN17-D3	71	Sound	24	995370	0	2			0		other	0
PPN17-D3	73	Sound	24	1018769	0	2			0		other	0
PPN17-D3	75	Sound	24	1042169	0	2			0		other	0
PPN17-D3	77	Sound	24	1065568	0	2			0		other	0
PPN17-D3	79	Sound	24	1088968	0	2			0		other	0
PPN17-D3	81	Sound	28	1112367	0	2			0		other	0
PPN17-D3	83	Sound	24	1136267	0	2			0		other	0
PPN17-D3	85	Sound	24	1159667	0	2			0		other	0
PPN17-D3	87	Sound	24	1183066	0	2			0		other	0
PPN17-D3	89	Sound	28	1206466	0	2			0		other	0
PPN17-D3	91	Sound	24	1230465	0	2			0		other	0
PPN17-D3	93	Sound	24	1253864	0	2			0		other	0
PPN17-D3	95	Sound	24	1277264	0	2			0		other	0
PPN17-D3	97	Sound	24	1300664	0	2			0		other	0
PPN17-D3	99	Sound	24	1324065	0	2			0		other	0
PPN17-D3	101	Sound	24	1347464	0	1			0		other	0
