Scenario - oddball3
Logfile written - 06/01/2016 17:02:27

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PP19-A3	1	Sound	14	170940	0	2			0		other	0
PP19-A3	3	Sound	14	194313	0	2			0		other	0
PP19-A3	5	Sound	14	217713	0	2			0		other	0
PP19-A3	7	Sound	14	241112	0	2			0		other	0
PP19-A3	9	Sound	14	264513	0	2			0		other	0
PP19-A3	11	Sound	14	287913	0	2			0		other	0
PP19-A3	13	Sound	18	311312	0	2			0		other	0
PP19-A3	15	Sound	14	335212	0	2			0		other	0
PP19-A3	17	Sound	16	358611	0	2			0		other	0
PP19-A3	19	Sound	14	382011	0	2			0		other	0
PP19-A3	21	Sound	14	405411	0	2			0		other	0
PP19-A3	23	Sound	14	428811	0	2			0		other	0
PP19-A3	25	Sound	18	452211	0	2			0		other	0
PP19-A3	27	Sound	14	475811	0	2			0		other	0
PP19-A3	29	Sound	14	499210	0	2			0		other	0
PP19-A3	31	Sound	14	522610	0	2			0		other	0
PP19-A3	33	Sound	14	546009	0	2			0		other	0
PP19-A3	35	Sound	14	569409	0	2			0		other	0
PP19-A3	37	Sound	16	592809	0	2			0		other	0
PP19-A3	39	Sound	14	616209	0	2			0		other	0
PP19-A3	41	Sound	16	639609	0	2			0		other	0
PP19-A3	43	Sound	14	663009	0	2			0		other	0
PP19-A3	45	Sound	14	686409	0	2			0		other	0
PP19-A3	47	Sound	14	709808	0	2			0		other	0
PP19-A3	49	Sound	14	733207	0	2			0		other	0
PP19-A3	51	Sound	14	756607	0	2			0		other	0
PP19-A3	53	Sound	18	780007	0	2			0		other	0
PP19-A3	55	Sound	14	801707	0	2			0		other	0
PP19-A3	57	Sound	14	825107	0	2			0		other	0
PP19-A3	59	Sound	14	848507	0	2			0		other	0
PP19-A3	61	Sound	18	871907	0	2			0		other	0
PP19-A3	63	Sound	14	894706	0	2			0		other	0
PP19-A3	65	Sound	14	918105	0	2			0		other	0
PP19-A3	67	Sound	14	941505	0	2			0		other	0
PP19-A3	69	Sound	14	964905	0	2			0		other	0
PP19-A3	71	Sound	14	988306	0	2			0		other	0
PP19-A3	73	Sound	16	1011706	0	2			0		other	0
PP19-A3	75	Sound	14	1035105	0	2			0		other	0
PP19-A3	77	Sound	18	1058503	0	2			0		other	0
PP19-A3	79	Sound	14	1082304	0	2			0		other	0
PP19-A3	81	Sound	18	1105704	0	2			0		other	0
PP19-A3	83	Sound	14	1129604	0	2			0		other	0
PP19-A3	85	Sound	18	1153004	0	2			0		other	0
PP19-A3	87	Sound	14	1176204	0	2			0		other	0
PP19-A3	89	Sound	14	1199603	0	2			0		other	0
PP19-A3	91	Sound	14	1223003	0	2			0		other	0
PP19-A3	93	Sound	14	1246402	0	2			0		other	0
PP19-A3	95	Sound	14	1269803	0	2			0		other	0
