Scenario - oddball3
Logfile written - 06/01/2016 17:08:19

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN19_S3	1	Sound	8	172650	0	2			0		other	0
PPN19_S3	3	Sound	4	195725	0	2			0		other	0
PPN19_S3	5	Sound	4	219125	0	2			0		other	0
PPN19_S3	7	Sound	4	242524	0	2			0		other	0
PPN19_S3	9	Sound	6	265925	0	2			0		other	0
PPN19_S3	11	Sound	4	289324	0	2			0		other	0
PPN19_S3	13	Sound	6	312725	0	2			0		other	0
PPN19_S3	15	Sound	4	336124	0	2			0		other	0
PPN19_S3	17	Sound	4	359524	0	2			0		other	0
PPN19_S3	19	Sound	4	382923	0	2			0		other	0
PPN19_S3	21	Sound	4	406323	0	2			0		other	0
PPN19_S3	23	Sound	4	429722	0	2			0		other	0
PPN19_S3	25	Sound	4	453023	0	2			0		other	0
PPN19_S3	27	Sound	4	476422	0	2			0		other	0
PPN19_S3	29	Sound	4	499822	0	2			0		other	0
PPN19_S3	31	Sound	4	523222	0	2			0		other	0
PPN19_S3	33	Sound	4	546621	0	2			0		other	0
PPN19_S3	35	Sound	4	570021	0	2			0		other	0
PPN19_S3	37	Sound	8	593421	0	2			0		other	0
PPN19_S3	39	Sound	4	617121	0	2			0		other	0
PPN19_S3	41	Sound	8	640521	0	2			0		other	0
PPN19_S3	43	Sound	4	664121	0	2			0		other	0
PPN19_S3	45	Sound	4	687521	0	2			0		other	0
PPN19_S3	47	Sound	4	710920	0	2			0		other	0
PPN19_S3	49	Sound	8	734319	0	2			0		other	0
PPN19_S3	51	Sound	4	758319	0	2			0		other	0
PPN19_S3	53	Sound	8	781719	0	2			0		other	0
PPN19_S3	55	Sound	4	805719	0	2			0		other	0
PPN19_S3	57	Sound	6	829119	0	2			0		other	0
PPN19_S3	59	Sound	4	852519	0	2			0		other	0
PPN19_S3	61	Sound	4	875919	0	2			0		other	0
PPN19_S3	63	Sound	4	899318	0	2			0		other	0
PPN19_S3	65	Sound	4	922718	0	2			0		other	0
PPN19_S3	67	Sound	4	946117	0	2			0		other	0
PPN19_S3	69	Sound	4	969517	0	2			0		other	0
PPN19_S3	71	Sound	4	992917	0	2			0		other	0
PPN19_S3	73	Sound	6	1016317	0	2			0		other	0
PPN19_S3	75	Sound	4	1039717	0	2			0		other	0
PPN19_S3	77	Sound	4	1063116	0	2			0		other	0
PPN19_S3	79	Sound	4	1086516	0	2			0		other	0
PPN19_S3	81	Sound	4	1109916	0	2			0		other	0
PPN19_S3	83	Sound	4	1133315	0	2			0		other	0
PPN19_S3	85	Sound	4	1156616	0	2			0		other	0
PPN19_S3	87	Sound	4	1180015	0	2			0		other	0
PPN19_S3	89	Sound	4	1203415	0	2			0		other	0
PPN19_S3	91	Sound	4	1226815	0	2			0		other	0
PPN19_S3	93	Sound	4	1250214	0	2			0		other	0
PPN19_S3	95	Sound	4	1273614	0	2			0		other	0
PPN19_S3	97	Sound	4	1297013	0	2			0		other	0
PPN19_S3	99	Sound	4	1320414	0	2			0		other	0
PPN19_S3	101	Sound	6	1343813	0	2			0		other	0
PPN19_S3	103	Sound	4	1367213	0	2			0		other	0
PPN19_S3	105	Sound	8	1390612	0	2			0		other	0
PPN19_S3	107	Sound	4	1413612	0	2			0		other	0
PPN19_S3	109	Sound	8	1437012	0	2			0		other	0
PPN19_S3	111	Sound	4	1460012	0	2			0		other	0
PPN19_S3	113	Sound	6	1483411	0	2			0		other	0
PPN19_S3	115	Sound	4	1506813	0	2			0		other	0
PPN19_S3	117	Sound	8	1530212	0	2			0		other	0
PPN19_S3	119	Sound	4	1553712	0	2			0		other	0
PPN19_S3	121	Sound	4	1577111	0	2			0		other	0
PPN19_S3	123	Sound	4	1600510	0	2			0		other	0
PPN19_S3	125	Sound	6	1623911	0	2			0		other	0
PPN19_S3	127	Sound	4	1647310	0	2			0		other	0
PPN19_S3	129	Sound	4	1670711	0	2			0		other	0
PPN19_S3	131	Sound	4	1694110	0	2			0		other	0
PPN19_S3	133	Sound	4	1717511	0	2			0		other	0
PPN19_S3	135	Sound	4	1740910	0	2			0		other	0
PPN19_S3	137	Sound	6	1764309	0	2			0		other	0
PPN19_S3	139	Sound	4	1787709	0	2			0		other	0
PPN19_S3	141	Sound	4	1811108	0	2			0		other	0
PPN19_S3	143	Sound	4	1834508	0	2			0		other	0
PPN19_S3	145	Sound	8	1857808	0	2			0		other	0
PPN19_S3	147	Sound	4	1881808	0	2			0		other	0
PPN19_S3	149	Sound	6	1905208	0	2			0		other	0
PPN19_S3	151	Sound	4	1928608	0	2			0		other	0
PPN19_S3	153	Sound	4	1952007	0	2			0		other	0
PPN19_S3	155	Sound	4	1975406	0	2			0		other	0
PPN19_S3	157	Sound	4	1998806	0	2			0		other	0
PPN19_S3	159	Sound	4	2022207	0	2			0		other	0
PPN19_S3	161	Sound	4	2045606	0	2			0		other	0
PPN19_S3	163	Sound	4	2069006	0	2			0		other	0
PPN19_S3	165	Sound	4	2092406	0	2			0		other	0
