Scenario - oddball3
Logfile written - 05/18/2016 10:17:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

18mei_PPN4_A2	1	Sound	14	173760	0	2			0		other	0
18mei_PPN4_A2	3	Sound	14	197109	0	2			0		other	0
18mei_PPN4_A2	5	Sound	14	220509	0	2			0		other	0
18mei_PPN4_A2	7	Sound	14	243908	0	2			0		other	0
18mei_PPN4_A2	9	Sound	18	267308	0	2			0		other	0
18mei_PPN4_A2	11	Sound	14	291207	0	2			0		other	0
18mei_PPN4_A2	13	Sound	16	314607	0	2			0		other	0
18mei_PPN4_A2	15	Sound	14	338006	0	2			0		other	0
18mei_PPN4_A2	17	Sound	14	361405	0	2			0		other	0
18mei_PPN4_A2	19	Sound	14	384806	0	2			0		other	0
18mei_PPN4_A2	21	Sound	16	408205	0	2			0		other	0
18mei_PPN4_A2	23	Sound	14	431604	0	2			0		other	0
18mei_PPN4_A2	25	Sound	14	455004	0	2			0		other	0
18mei_PPN4_A2	27	Sound	14	478403	0	2			0		other	0
18mei_PPN4_A2	29	Sound	14	501803	0	2			0		other	0
18mei_PPN4_A2	31	Sound	14	525201	0	2			0		other	0
18mei_PPN4_A2	33	Sound	18	548601	0	2			0		other	0
18mei_PPN4_A2	35	Sound	14	571901	0	2			0		other	0
18mei_PPN4_A2	37	Sound	14	595301	0	2			0		other	0
18mei_PPN4_A2	39	Sound	14	618699	0	2			0		other	0
18mei_PPN4_A2	41	Sound	18	642099	0	2			0		other	0
18mei_PPN4_A2	43	Sound	14	666198	0	2			0		other	0
18mei_PPN4_A2	45	Sound	18	689598	0	2			0		other	0
18mei_PPN4_A2	47	Sound	14	713397	0	2			0		other	0
18mei_PPN4_A2	49	Sound	18	736797	0	2			0		other	0
18mei_PPN4_A2	51	Sound	14	759197	0	2			0		other	0
18mei_PPN4_A2	53	Sound	14	782597	0	2			0		other	0
18mei_PPN4_A2	55	Sound	14	805996	0	2			0		other	0
18mei_PPN4_A2	57	Sound	14	829395	0	2			0		other	0
18mei_PPN4_A2	59	Sound	14	852794	0	2			0		other	0
18mei_PPN4_A2	61	Sound	14	876194	0	2			0		other	0
18mei_PPN4_A2	63	Sound	14	899594	0	2			0		other	0
18mei_PPN4_A2	65	Sound	14	922993	0	2			0		other	0
18mei_PPN4_A2	67	Sound	14	946392	0	2			0		other	0
18mei_PPN4_A2	69	Sound	14	969793	0	2			0		other	0
18mei_PPN4_A2	71	Sound	14	993192	0	2			0		other	0
18mei_PPN4_A2	73	Sound	16	1016591	0	2			0		other	0
18mei_PPN4_A2	75	Sound	14	1039990	0	2			0		other	0
18mei_PPN4_A2	77	Sound	14	1063390	0	2			0		other	0
18mei_PPN4_A2	79	Sound	14	1086790	0	2			0		other	0
18mei_PPN4_A2	81	Sound	16	1110190	0	2			0		other	0
18mei_PPN4_A2	83	Sound	14	1133588	0	2			0		other	0
18mei_PPN4_A2	85	Sound	14	1156988	0	2			0		other	0
18mei_PPN4_A2	87	Sound	14	1180388	0	2			0		other	0
18mei_PPN4_A2	89	Sound	16	1203787	0	2			0		other	0
18mei_PPN4_A2	91	Sound	14	1227186	0	2			0		other	0
18mei_PPN4_A2	93	Sound	18	1250586	0	2			0		other	0
18mei_PPN4_A2	95	Sound	14	1273985	0	2			0		other	0
18mei_PPN4_A2	97	Sound	14	1297385	0	2			0		other	0
18mei_PPN4_A2	99	Sound	14	1320784	0	2			0		other	0
18mei_PPN4_A2	101	Sound	14	1344183	0	2			0		other	0
18mei_PPN4_A2	103	Sound	14	1367583	0	2			0		other	0
18mei_PPN4_A2	105	Sound	16	1390982	0	2			0		other	0
18mei_PPN4_A2	107	Sound	14	1414382	0	2			0		other	0
18mei_PPN4_A2	109	Sound	14	1437782	0	2			0		other	0
