Scenario - oddball3
Logfile written - 05/18/2016 10:04:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN4S1	1	Sound	4	172410	0	2			0		other	0
PPN4S1	3	Sound	4	195779	0	2			0		other	0
PPN4S1	5	Sound	4	219179	0	2			0		other	0
PPN4S1	7	Sound	4	242579	0	2			0		other	0
PPN4S1	9	Sound	4	265978	0	2			0		other	0
PPN4S1	11	Sound	4	289378	0	2			0		other	0
PPN4S1	13	Sound	4	312777	0	2			0		other	0
PPN4S1	15	Sound	4	336176	0	2			0		other	0
PPN4S1	17	Sound	8	359576	0	2			0		other	0
PPN4S1	19	Sound	4	383075	0	2			0		other	0
PPN4S1	21	Sound	4	406475	0	2			0		other	0
PPN4S1	23	Sound	4	429874	0	2			0		other	0
PPN4S1	25	Sound	4	453274	0	2			0		other	0
PPN4S1	27	Sound	4	476674	0	2			0		other	0
PPN4S1	29	Sound	8	500073	0	2			0		other	0
PPN4S1	31	Sound	4	523872	0	2			0		other	0
PPN4S1	33	Sound	4	547271	0	2			0		other	0
PPN4S1	35	Sound	4	570671	0	2			0		other	0
PPN4S1	37	Sound	6	594071	0	2			0		other	0
PPN4S1	39	Sound	4	617471	0	2			0		other	0
PPN4S1	41	Sound	4	640870	0	2			0		other	0
PPN4S1	43	Sound	4	664269	0	2			0		other	0
PPN4S1	45	Sound	4	687668	0	2			0		other	0
PPN4S1	47	Sound	4	711068	0	2			0		other	0
PPN4S1	49	Sound	4	734467	0	1			0		other	0
PPN4S1	51	Sound	4	757867	0	2			0		other	0
PPN4S1	53	Sound	4	781267	0	1			0		other	0
PPN4S1	55	Sound	4	804667	0	2			0		other	0
PPN4S1	57	Sound	8	828066	0	2			0		other	0
PPN4S1	59	Sound	4	850865	0	2			0		other	0
PPN4S1	61	Sound	4	874264	0	1			0		other	0
PPN4S1	63	Sound	4	897663	0	2			0		other	0
PPN4S1	65	Sound	4	920964	0	2			0		other	0
PPN4S1	67	Sound	4	944363	0	2			0		other	0
PPN4S1	69	Sound	4	967763	0	2			0		other	0
PPN4S1	71	Sound	4	991162	0	2			0		other	0
PPN4S1	73	Sound	4	1014561	0	2			0		other	0
PPN4S1	75	Sound	4	1037961	0	1			0		other	0
PPN4S1	77	Sound	4	1061360	0	2			0		other	0
PPN4S1	79	Sound	4	1084759	0	2			0		other	0
PPN4S1	81	Sound	8	1108160	0	2			0		other	0
PPN4S1	83	Sound	4	1132258	0	2			0		other	0
PPN4S1	85	Sound	4	1155658	0	2			0		other	0
PPN4S1	87	Sound	4	1179058	0	2			0		other	0
PPN4S1	89	Sound	8	1202457	0	2			0		other	0
PPN4S1	91	Sound	4	1226456	0	2			0		other	0
PPN4S1	93	Sound	4	1249856	0	2			0		other	0
