Scenario - oddball3
Logfile written - 05/18/2016 12:34:38

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

18mei_PPN5_D1	1	Sound	24	173882	0	2			0		other	0
18mei_PPN5_D1	3	Sound	24	197224	0	2			0		other	0
18mei_PPN5_D1	5	Sound	26	220623	0	2			0		other	0
18mei_PPN5_D1	7	Sound	24	244022	0	2			0		other	0
18mei_PPN5_D1	9	Sound	28	267422	0	2			0		other	0
18mei_PPN5_D1	11	Sound	24	291121	0	2			0		other	0
18mei_PPN5_D1	13	Sound	24	314520	0	2			0		other	0
18mei_PPN5_D1	15	Sound	24	337920	0	2			0		other	0
18mei_PPN5_D1	17	Sound	24	361320	0	2			0		other	0
18mei_PPN5_D1	19	Sound	24	384719	0	2			0		other	0
18mei_PPN5_D1	21	Sound	24	408119	0	2			0		other	0
18mei_PPN5_D1	23	Sound	28	431517	0	2			0		other	0
18mei_PPN5_D1	25	Sound	24	453217	0	2			0		other	0
18mei_PPN5_D1	27	Sound	28	476617	0	2			0		other	0
18mei_PPN5_D1	29	Sound	24	500716	0	2			0		other	0
18mei_PPN5_D1	31	Sound	24	524116	0	2			0		other	0
18mei_PPN5_D1	33	Sound	24	547516	0	2			0		other	0
18mei_PPN5_D1	35	Sound	26	570915	0	2			0		other	0
18mei_PPN5_D1	37	Sound	24	594315	0	2			0		other	0
18mei_PPN5_D1	39	Sound	24	617714	0	2			0		other	0
18mei_PPN5_D1	41	Sound	24	641113	0	2			0		other	0
18mei_PPN5_D1	43	Sound	28	664513	0	2			0		other	0
18mei_PPN5_D1	45	Sound	24	687613	0	2			0		other	0
18mei_PPN5_D1	47	Sound	24	711012	0	2			0		other	0
18mei_PPN5_D1	49	Sound	24	734412	0	2			0		other	0
18mei_PPN5_D1	51	Sound	24	757812	0	2			0		other	0
18mei_PPN5_D1	53	Sound	24	781211	0	2			0		other	0
18mei_PPN5_D1	55	Sound	24	804610	0	2			0		other	0
18mei_PPN5_D1	57	Sound	24	828009	0	2			0		other	0
18mei_PPN5_D1	59	Sound	26	851409	0	2			0		other	0
18mei_PPN5_D1	61	Sound	24	874809	0	2			0		other	0
18mei_PPN5_D1	63	Sound	24	898208	0	2			0		other	0
18mei_PPN5_D1	65	Sound	24	921607	0	2			0		other	0
18mei_PPN5_D1	67	Sound	24	945007	0	2			0		other	0
18mei_PPN5_D1	69	Sound	24	968406	0	2			0		other	0
18mei_PPN5_D1	71	Sound	26	991806	0	2			0		other	0
18mei_PPN5_D1	73	Sound	24	1015205	0	2			0		other	0
18mei_PPN5_D1	75	Sound	28	1038605	0	2			0		other	0
18mei_PPN5_D1	77	Sound	24	1061104	0	2			0		other	0
18mei_PPN5_D1	79	Sound	24	1084504	0	2			0		other	0
18mei_PPN5_D1	81	Sound	24	1107904	0	2			0		other	0
18mei_PPN5_D1	83	Sound	28	1131302	0	2			0		other	0
18mei_PPN5_D1	85	Sound	24	1155402	0	2			0		other	0
18mei_PPN5_D1	87	Sound	24	1178801	0	2			0		other	0
18mei_PPN5_D1	89	Sound	24	1202201	0	2			0		other	0
18mei_PPN5_D1	91	Sound	28	1225601	0	2			0		other	0
18mei_PPN5_D1	93	Sound	24	1249500	0	2			0		other	0
18mei_PPN5_D1	95	Sound	24	1272900	0	2			0		other	0
18mei_PPN5_D1	97	Sound	24	1296299	0	2			0		other	0
18mei_PPN5_D1	99	Sound	26	1319699	0	2			0		other	0
18mei_PPN5_D1	101	Sound	24	1343098	0	2			0		other	0
18mei_PPN5_D1	103	Sound	26	1366497	0	2			0		other	0
18mei_PPN5_D1	105	Sound	24	1389897	0	2			0		other	0
18mei_PPN5_D1	107	Sound	24	1413297	0	2			0		other	0
18mei_PPN5_D1	109	Sound	24	1436696	0	2			0		other	0
18mei_PPN5_D1	111	Sound	24	1460096	0	2			0		other	0
18mei_PPN5_D1	113	Sound	24	1483495	0	2			0		other	0
18mei_PPN5_D1	115	Sound	24	1506894	0	2			0		other	0
18mei_PPN5_D1	117	Sound	24	1530293	0	2			0		other	0
18mei_PPN5_D1	119	Sound	24	1553693	0	2			0		other	0
18mei_PPN5_D1	121	Sound	24	1577092	0	2			0		other	0
18mei_PPN5_D1	123	Sound	24	1600493	0	2			0		other	0
18mei_PPN5_D1	125	Sound	24	1623892	0	2			0		other	0
18mei_PPN5_D1	127	Sound	26	1647291	0	2			0		other	0
18mei_PPN5_D1	129	Sound	24	1670691	0	2			0		other	0
18mei_PPN5_D1	131	Sound	28	1694090	0	2			0		other	0
18mei_PPN5_D1	133	Sound	24	1717789	0	2			0		other	0
18mei_PPN5_D1	135	Sound	24	1741189	0	2			0		other	0
18mei_PPN5_D1	137	Sound	24	1764589	0	2			0		other	0
18mei_PPN5_D1	139	Sound	26	1787989	0	2			0		other	0
18mei_PPN5_D1	141	Sound	24	1811388	0	2			0		other	0
18mei_PPN5_D1	143	Sound	24	1834787	0	2			0		other	0
18mei_PPN5_D1	145	Sound	24	1858186	0	2			0		other	0
18mei_PPN5_D1	147	Sound	24	1881586	0	2			0		other	0
18mei_PPN5_D1	149	Sound	24	1904985	0	2			0		other	0
18mei_PPN5_D1	151	Sound	28	1928385	0	2			0		other	0
18mei_PPN5_D1	153	Sound	24	1951385	0	2			0		other	0
18mei_PPN5_D1	155	Sound	26	1974784	0	2			0		other	0
18mei_PPN5_D1	157	Sound	24	1998184	0	2			0		other	0
18mei_PPN5_D1	159	Sound	24	2021583	0	2			0		other	0
18mei_PPN5_D1	161	Sound	24	2044982	0	2			0		other	0
18mei_PPN5_D1	163	Sound	24	2068382	0	2			0		other	0
18mei_PPN5_D1	165	Sound	24	2091782	0	2			0		other	0
18mei_PPN5_D1	167	Sound	24	2115181	0	2			0		other	0
18mei_PPN5_D1	169	Sound	24	2138581	0	2			0		other	0
18mei_PPN5_D1	171	Sound	24	2161980	0	2			0		other	0
18mei_PPN5_D1	173	Sound	24	2185379	0	2			0		other	0
18mei_PPN5_D1	175	Sound	24	2208778	0	2			0		other	0
18mei_PPN5_D1	177	Sound	24	2232178	0	2			0		other	0
18mei_PPN5_D1	179	Sound	26	2255578	0	2			0		other	0
18mei_PPN5_D1	181	Sound	24	2278977	0	2			0		other	0
18mei_PPN5_D1	183	Sound	26	2302377	0	2			0		other	0
18mei_PPN5_D1	185	Sound	24	2325776	0	2			0		other	0
18mei_PPN5_D1	187	Sound	28	2349176	0	2			0		other	0
18mei_PPN5_D1	189	Sound	24	2372274	0	2			0		other	0
18mei_PPN5_D1	191	Sound	24	2395674	0	2			0		other	0
18mei_PPN5_D1	193	Sound	24	2419074	0	2			0		other	0
18mei_PPN5_D1	195	Sound	24	2442474	0	2			0		other	0
18mei_PPN5_D1	197	Sound	24	2465873	0	2			0		other	0
18mei_PPN5_D1	199	Sound	28	2489273	0	2			0		other	0
18mei_PPN5_D1	201	Sound	24	2513273	0	2			0		other	0
18mei_PPN5_D1	203	Sound	24	2536672	0	2			0		other	0
18mei_PPN5_D1	205	Sound	24	2560071	0	2			0		other	0
18mei_PPN5_D1	207	Sound	24	2583469	0	2			0		other	0
18mei_PPN5_D1	209	Sound	24	2606770	0	2			0		other	0
18mei_PPN5_D1	211	Sound	24	2630170	0	2			0		other	0
18mei_PPN5_D1	213	Sound	24	2653570	0	2			0		other	0
18mei_PPN5_D1	215	Sound	24	2676969	0	2			0		other	0
18mei_PPN5_D1	217	Sound	24	2700368	0	2			0		other	0
18mei_PPN5_D1	219	Sound	24	2723767	0	2			0		other	0
18mei_PPN5_D1	221	Sound	24	2747167	0	2			0		other	0
18mei_PPN5_D1	223	Sound	28	2770566	0	2			0		other	0
18mei_PPN5_D1	225	Sound	24	2794066	0	2			0		other	0
18mei_PPN5_D1	227	Sound	24	2817465	0	2			0		other	0
18mei_PPN5_D1	229	Sound	24	2840865	0	2			0		other	0
18mei_PPN5_D1	231	Sound	26	2864265	0	2			0		other	0
18mei_PPN5_D1	233	Sound	24	2887664	0	2			0		other	0
18mei_PPN5_D1	235	Sound	28	2911063	0	2			0		other	0
18mei_PPN5_D1	237	Sound	24	2935062	0	2			0		other	0
18mei_PPN5_D1	239	Sound	26	2958462	0	2			0		other	0
18mei_PPN5_D1	241	Sound	24	2981862	0	2			0		other	0
18mei_PPN5_D1	243	Sound	24	3005261	0	2			0		other	0
18mei_PPN5_D1	245	Sound	24	3028661	0	2			0		other	0
18mei_PPN5_D1	247	Sound	24	3052060	0	2			0		other	0
18mei_PPN5_D1	249	Sound	24	3075459	0	2			0		other	0
18mei_PPN5_D1	251	Sound	24	3098859	0	2			0		other	0
18mei_PPN5_D1	253	Sound	24	3122258	0	2			0		other	0
18mei_PPN5_D1	255	Sound	24	3145658	0	2			0		other	0
18mei_PPN5_D1	257	Sound	24	3169058	0	2			0		other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Sound	24	other				173882	2			0
Sound	24	other				197224	2			0
Sound	26	other				220623	2			0
Sound	24	other				244022	2			0
Sound	28	other				267422	2			0
Sound	24	other				291121	2			0
Sound	24	other				314520	2			0
Sound	24	other				337920	2			0
Sound	24	other				361320	2			0
Sound	24	other				384719	2			0
Sound	24	other				408119	2			0
Sound	28	other				431517	2			0
Sound	24	other				453217	2			0
Sound	28	other				476617	2			0
Sound	24	other				500716	2			0
Sound	24	other				524116	2			0
Sound	24	other				547516	2			0
Sound	26	other				570915	2			0
Sound	24	other				594315	2			0
Sound	24	other				617714	2			0
Sound	24	other				641113	2			0
Sound	28	other				664513	2			0
Sound	24	other				687613	2			0
Sound	24	other				711012	2			0
Sound	24	other				734412	2			0
Sound	24	other				757812	2			0
Sound	24	other				781211	2			0
Sound	24	other				804610	2			0
Sound	24	other				828009	2			0
Sound	26	other				851409	2			0
Sound	24	other				874809	2			0
Sound	24	other				898208	2			0
Sound	24	other				921607	2			0
Sound	24	other				945007	2			0
Sound	24	other				968406	2			0
Sound	26	other				991806	2			0
Sound	24	other				1015205	2			0
Sound	28	other				1038605	2			0
Sound	24	other				1061104	2			0
Sound	24	other				1084504	2			0
Sound	24	other				1107904	2			0
Sound	28	other				1131302	2			0
Sound	24	other				1155402	2			0
Sound	24	other				1178801	2			0
Sound	24	other				1202201	2			0
Sound	28	other				1225601	2			0
Sound	24	other				1249500	2			0
Sound	24	other				1272900	2			0
Sound	24	other				1296299	2			0
Sound	26	other				1319699	2			0
Sound	24	other				1343098	2			0
Sound	26	other				1366497	2			0
Sound	24	other				1389897	2			0
Sound	24	other				1413297	2			0
Sound	24	other				1436696	2			0
Sound	24	other				1460096	2			0
Sound	24	other				1483495	2			0
Sound	24	other				1506894	2			0
Sound	24	other				1530293	2			0
Sound	24	other				1553693	2			0
Sound	24	other				1577092	2			0
Sound	24	other				1600493	2			0
Sound	24	other				1623892	2			0
Sound	26	other				1647291	2			0
Sound	24	other				1670691	2			0
Sound	28	other				1694090	2			0
Sound	24	other				1717789	2			0
Sound	24	other				1741189	2			0
Sound	24	other				1764589	2			0
Sound	26	other				1787989	2			0
Sound	24	other				1811388	2			0
Sound	24	other				1834787	2			0
Sound	24	other				1858186	2			0
Sound	24	other				1881586	2			0
Sound	24	other				1904985	2			0
Sound	28	other				1928385	2			0
Sound	24	other				1951385	2			0
Sound	26	other				1974784	2			0
Sound	24	other				1998184	2			0
Sound	24	other				2021583	2			0
Sound	24	other				2044982	2			0
Sound	24	other				2068382	2			0
Sound	24	other				2091782	2			0
Sound	24	other				2115181	2			0
Sound	24	other				2138581	2			0
Sound	24	other				2161980	2			0
Sound	24	other				2185379	2			0
Sound	24	other				2208778	2			0
Sound	24	other				2232178	2			0
Sound	26	other				2255578	2			0
Sound	24	other				2278977	2			0
Sound	26	other				2302377	2			0
Sound	24	other				2325776	2			0
Sound	28	other				2349176	2			0
Sound	24	other				2372274	2			0
Sound	24	other				2395674	2			0
Sound	24	other				2419074	2			0
Sound	24	other				2442474	2			0
Sound	24	other				2465873	2			0
Sound	28	other				2489273	2			0
Sound	24	other				2513273	2			0
Sound	24	other				2536672	2			0
Sound	24	other				2560071	2			0
Sound	24	other				2583469	2			0
Sound	24	other				2606770	2			0
Sound	24	other				2630170	2			0
Sound	24	other				2653570	2			0
Sound	24	other				2676969	2			0
Sound	24	other				2700368	2			0
Sound	24	other				2723767	2			0
Sound	24	other				2747167	2			0
Sound	28	other				2770566	2			0
Sound	24	other				2794066	2			0
Sound	24	other				2817465	2			0
Sound	24	other				2840865	2			0
Sound	26	other				2864265	2			0
Sound	24	other				2887664	2			0
Sound	28	other				2911063	2			0
Sound	24	other				2935062	2			0
Sound	26	other				2958462	2			0
Sound	24	other				2981862	2			0
Sound	24	other				3005261	2			0
Sound	24	other				3028661	2			0
Sound	24	other				3052060	2			0
Sound	24	other				3075459	2			0
Sound	24	other				3098859	2			0
Sound	24	other				3122258	2			0
Sound	24	other				3145658	2			0
Sound	24	other				3169058	2			0
