Scenario - oddball3
Logfile written - 05/18/2016 12:41:29

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN5-18mei-S1	1	Sound	4	175050	0	2			0		other	0
PPN5-18mei-S1	3	Sound	4	198446	0	2			0		other	0
PPN5-18mei-S1	5	Sound	4	221846	0	2			0		other	0
PPN5-18mei-S1	7	Sound	4	245245	0	2			0		other	0
PPN5-18mei-S1	9	Sound	4	268645	0	2			0		other	0
PPN5-18mei-S1	11	Sound	4	292045	0	2			0		other	0
PPN5-18mei-S1	13	Sound	4	315444	0	2			0		other	0
PPN5-18mei-S1	15	Sound	4	338844	0	2			0		other	0
PPN5-18mei-S1	17	Sound	8	362243	0	2			0		other	0
PPN5-18mei-S1	19	Sound	4	385742	0	2			0		other	0
PPN5-18mei-S1	21	Sound	4	409142	0	2			0		other	0
PPN5-18mei-S1	23	Sound	4	432541	0	2			0		other	0
PPN5-18mei-S1	25	Sound	4	455941	0	2			0		other	0
PPN5-18mei-S1	27	Sound	4	479340	0	2			0		other	0
PPN5-18mei-S1	29	Sound	8	502740	0	2			0		other	0
PPN5-18mei-S1	31	Sound	4	526539	0	2			0		other	0
PPN5-18mei-S1	33	Sound	4	549939	0	2			0		other	0
PPN5-18mei-S1	35	Sound	4	573338	0	2			0		other	0
PPN5-18mei-S1	37	Sound	6	596737	0	2			0		other	0
PPN5-18mei-S1	39	Sound	4	620136	0	2			0		other	0
PPN5-18mei-S1	41	Sound	4	643537	0	2			0		other	0
PPN5-18mei-S1	43	Sound	4	666936	0	2			0		other	0
PPN5-18mei-S1	45	Sound	4	690335	0	2			0		other	0
PPN5-18mei-S1	47	Sound	4	713735	0	2			0		other	0
PPN5-18mei-S1	49	Sound	4	737134	0	2			0		other	0
PPN5-18mei-S1	51	Sound	4	760534	0	2			0		other	0
PPN5-18mei-S1	53	Sound	4	783933	0	2			0		other	0
PPN5-18mei-S1	55	Sound	4	807333	0	2			0		other	0
PPN5-18mei-S1	57	Sound	8	830732	0	2			0		other	0
PPN5-18mei-S1	59	Sound	4	853532	0	2			0		other	0
PPN5-18mei-S1	61	Sound	4	876932	0	2			0		other	0
PPN5-18mei-S1	63	Sound	4	900331	0	2			0		other	0
PPN5-18mei-S1	65	Sound	4	923730	0	2			0		other	0
PPN5-18mei-S1	67	Sound	4	947129	0	2			0		other	0
PPN5-18mei-S1	69	Sound	4	970528	0	2			0		other	0
PPN5-18mei-S1	71	Sound	4	993929	0	2			0		other	0
PPN5-18mei-S1	73	Sound	4	1017328	0	2			0		other	0
PPN5-18mei-S1	75	Sound	4	1040728	0	2			0		other	0
PPN5-18mei-S1	77	Sound	4	1064127	0	2			0		other	0
PPN5-18mei-S1	79	Sound	4	1087526	0	2			0		other	0
PPN5-18mei-S1	81	Sound	8	1110926	0	2			0		other	0
PPN5-18mei-S1	83	Sound	4	1135025	0	2			0		other	0
PPN5-18mei-S1	85	Sound	4	1158425	0	2			0		other	0
PPN5-18mei-S1	87	Sound	4	1181825	0	2			0		other	0
PPN5-18mei-S1	89	Sound	8	1205224	0	2			0		other	0
PPN5-18mei-S1	91	Sound	4	1229224	0	2			0		other	0
PPN5-18mei-S1	93	Sound	4	1252623	0	2			0		other	0
PPN5-18mei-S1	95	Sound	4	1276022	0	2			0		other	0
PPN5-18mei-S1	97	Sound	6	1299421	0	2			0		other	0
PPN5-18mei-S1	99	Sound	4	1322821	0	2			0		other	0
PPN5-18mei-S1	101	Sound	6	1346221	0	2			0		other	0
PPN5-18mei-S1	103	Sound	4	1369620	0	2			0		other	0
PPN5-18mei-S1	105	Sound	8	1393021	0	2			0		other	0
PPN5-18mei-S1	107	Sound	4	1417019	0	2			0		other	0
PPN5-18mei-S1	109	Sound	4	1440419	0	2			0		other	0
PPN5-18mei-S1	111	Sound	4	1463818	0	2			0		other	0
PPN5-18mei-S1	113	Sound	4	1487217	0	2			0		other	0
PPN5-18mei-S1	115	Sound	4	1510617	0	2			0		other	0
PPN5-18mei-S1	117	Sound	4	1534017	0	2			0		other	0
PPN5-18mei-S1	119	Sound	4	1557417	0	2			0		other	0
PPN5-18mei-S1	121	Sound	8	1580816	0	2			0		other	0
PPN5-18mei-S1	123	Sound	4	1604915	0	2			0		other	0
PPN5-18mei-S1	125	Sound	4	1628315	0	2			0		other	0
PPN5-18mei-S1	127	Sound	4	1651714	0	2			0		other	0
PPN5-18mei-S1	129	Sound	8	1675113	0	2			0		other	0
PPN5-18mei-S1	131	Sound	4	1698814	0	2			0		other	0
PPN5-18mei-S1	133	Sound	6	1722213	0	2			0		other	0
PPN5-18mei-S1	135	Sound	4	1745613	0	2			0		other	0
PPN5-18mei-S1	137	Sound	6	1769012	0	2			0		other	0
PPN5-18mei-S1	139	Sound	4	1792411	0	2			0		other	0
PPN5-18mei-S1	141	Sound	4	1815810	0	2			0		other	0
PPN5-18mei-S1	143	Sound	4	1839210	0	2			0		other	0
PPN5-18mei-S1	145	Sound	8	1862609	0	2			0		other	0
PPN5-18mei-S1	147	Sound	4	1886509	0	2			0		other	0
PPN5-18mei-S1	149	Sound	4	1909909	0	2			0		other	0
PPN5-18mei-S1	151	Sound	4	1933308	0	2			0		other	0
PPN5-18mei-S1	153	Sound	4	1956707	0	2			0		other	0
PPN5-18mei-S1	155	Sound	4	1980106	0	2			0		other	0
PPN5-18mei-S1	157	Sound	8	2003506	0	2			0		other	0
PPN5-18mei-S1	159	Sound	4	2026505	0	2			0		other	0
PPN5-18mei-S1	161	Sound	6	2049906	0	2			0		other	0
PPN5-18mei-S1	163	Sound	4	2073305	0	2			0		other	0
PPN5-18mei-S1	165	Sound	6	2096705	0	2			0		other	0
PPN5-18mei-S1	167	Sound	4	2120103	0	2			0		other	0
PPN5-18mei-S1	169	Sound	6	2143503	0	2			0		other	0
PPN5-18mei-S1	171	Sound	4	2166902	0	2			0		other	0
PPN5-18mei-S1	173	Sound	6	2190302	0	2			0		other	0
PPN5-18mei-S1	175	Sound	4	2213701	0	2			0		other	0
PPN5-18mei-S1	177	Sound	8	2237101	0	2			0		other	0
PPN5-18mei-S1	179	Sound	4	2260201	0	2			0		other	0
PPN5-18mei-S1	181	Sound	4	2283601	0	2			0		other	0
PPN5-18mei-S1	183	Sound	4	2307000	0	2			0		other	0
PPN5-18mei-S1	185	Sound	8	2330399	0	2			0		other	0
PPN5-18mei-S1	187	Sound	4	2353298	0	2			0		other	0
PPN5-18mei-S1	189	Sound	4	2376698	0	2			0		other	0
PPN5-18mei-S1	191	Sound	4	2400098	0	2			0		other	0
PPN5-18mei-S1	193	Sound	4	2423497	0	2			0		other	0
PPN5-18mei-S1	195	Sound	4	2446897	0	2			0		other	0
PPN5-18mei-S1	197	Sound	4	2470296	0	2			0		other	0
PPN5-18mei-S1	199	Sound	4	2493695	0	2			0		other	0
PPN5-18mei-S1	201	Sound	6	2517095	0	2			0		other	0
PPN5-18mei-S1	203	Sound	4	2540494	0	2			0		other	0
PPN5-18mei-S1	205	Sound	4	2563894	0	2			0		other	0
PPN5-18mei-S1	207	Sound	4	2587293	0	2			0		other	0
PPN5-18mei-S1	209	Sound	4	2610693	0	2			0		other	0
PPN5-18mei-S1	211	Sound	4	2634093	0	2			0		other	0
PPN5-18mei-S1	213	Sound	4	2657492	0	2			0		other	0
PPN5-18mei-S1	215	Sound	4	2680891	0	2			0		other	0
PPN5-18mei-S1	217	Sound	4	2704290	0	2			0		other	0
PPN5-18mei-S1	219	Sound	4	2727690	0	2			0		other	0
PPN5-18mei-S1	221	Sound	6	2751090	0	2			0		other	0
PPN5-18mei-S1	223	Sound	4	2774489	0	2			0		other	0
PPN5-18mei-S1	225	Sound	6	2797889	0	2			0		other	0
PPN5-18mei-S1	227	Sound	4	2821288	0	2			0		other	0
PPN5-18mei-S1	229	Sound	4	2844687	0	2			0		other	0
PPN5-18mei-S1	231	Sound	4	2868086	0	2			0		other	0
PPN5-18mei-S1	233	Sound	4	2891486	0	2			0		other	0
PPN5-18mei-S1	235	Sound	4	2914886	0	2			0		other	0
PPN5-18mei-S1	237	Sound	4	2938286	0	2			0		other	0
PPN5-18mei-S1	239	Sound	4	2961685	0	2			0		other	0
PPN5-18mei-S1	241	Sound	4	2985085	0	2			0		other	0
PPN5-18mei-S1	243	Sound	4	3008484	0	2			0		other	0
PPN5-18mei-S1	245	Sound	4	3031883	0	2			0		other	0
PPN5-18mei-S1	247	Sound	4	3055282	0	2			0		other	0
PPN5-18mei-S1	249	Sound	4	3078682	0	2			0		other	0
PPN5-18mei-S1	251	Sound	4	3102082	0	2			0		other	0
PPN5-18mei-S1	253	Sound	6	3125481	0	2			0		other	0
PPN5-18mei-S1	255	Sound	4	3148881	0	2			0		other	0
PPN5-18mei-S1	257	Sound	8	3172280	0	2			0		other	0
PPN5-18mei-S1	259	Sound	4	3195779	0	2			0		other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Sound	4	other				175050	2			0
Sound	4	other				198446	2			0
Sound	4	other				221846	2			0
Sound	4	other				245245	2			0
Sound	4	other				268645	2			0
Sound	4	other				292045	2			0
Sound	4	other				315444	2			0
Sound	4	other				338844	2			0
Sound	8	other				362243	2			0
Sound	4	other				385742	2			0
Sound	4	other				409142	2			0
Sound	4	other				432541	2			0
Sound	4	other				455941	2			0
Sound	4	other				479340	2			0
Sound	8	other				502740	2			0
Sound	4	other				526539	2			0
Sound	4	other				549939	2			0
Sound	4	other				573338	2			0
Sound	6	other				596737	2			0
Sound	4	other				620136	2			0
Sound	4	other				643537	2			0
Sound	4	other				666936	2			0
Sound	4	other				690335	2			0
Sound	4	other				713735	2			0
Sound	4	other				737134	2			0
Sound	4	other				760534	2			0
Sound	4	other				783933	2			0
Sound	4	other				807333	2			0
Sound	8	other				830732	2			0
Sound	4	other				853532	2			0
Sound	4	other				876932	2			0
Sound	4	other				900331	2			0
Sound	4	other				923730	2			0
Sound	4	other				947129	2			0
Sound	4	other				970528	2			0
Sound	4	other				993929	2			0
Sound	4	other				1017328	2			0
Sound	4	other				1040728	2			0
Sound	4	other				1064127	2			0
Sound	4	other				1087526	2			0
Sound	8	other				1110926	2			0
Sound	4	other				1135025	2			0
Sound	4	other				1158425	2			0
Sound	4	other				1181825	2			0
Sound	8	other				1205224	2			0
Sound	4	other				1229224	2			0
Sound	4	other				1252623	2			0
Sound	4	other				1276022	2			0
Sound	6	other				1299421	2			0
Sound	4	other				1322821	2			0
Sound	6	other				1346221	2			0
Sound	4	other				1369620	2			0
Sound	8	other				1393021	2			0
Sound	4	other				1417019	2			0
Sound	4	other				1440419	2			0
Sound	4	other				1463818	2			0
Sound	4	other				1487217	2			0
Sound	4	other				1510617	2			0
Sound	4	other				1534017	2			0
Sound	4	other				1557417	2			0
Sound	8	other				1580816	2			0
Sound	4	other				1604915	2			0
Sound	4	other				1628315	2			0
Sound	4	other				1651714	2			0
Sound	8	other				1675113	2			0
Sound	4	other				1698814	2			0
Sound	6	other				1722213	2			0
Sound	4	other				1745613	2			0
Sound	6	other				1769012	2			0
Sound	4	other				1792411	2			0
Sound	4	other				1815810	2			0
