Scenario - oddball3
Logfile written - 05/18/2016 13:08:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

PPN5_18mei_A2	1	Sound	14	173810	0	2			0		other	0
PPN5_18mei_A2	3	Sound	14	197122	0	2			0		other	0
PPN5_18mei_A2	5	Sound	14	220521	0	2			0		other	0
PPN5_18mei_A2	7	Sound	14	243922	0	2			0		other	0
PPN5_18mei_A2	9	Sound	18	267321	0	2			0		other	0
PPN5_18mei_A2	11	Sound	14	291221	0	2			0		other	0
PPN5_18mei_A2	13	Sound	16	314620	0	2			0		other	0
PPN5_18mei_A2	15	Sound	14	338019	0	2			0		other	0
PPN5_18mei_A2	17	Sound	14	361419	0	2			0		other	0
PPN5_18mei_A2	19	Sound	14	384818	0	2			0		other	0
PPN5_18mei_A2	21	Sound	16	408218	0	2			0		other	0
PPN5_18mei_A2	23	Sound	14	431617	0	2			0		other	0
PPN5_18mei_A2	25	Sound	14	455017	0	2			0		other	0
PPN5_18mei_A2	27	Sound	14	478416	0	2			0		other	0
PPN5_18mei_A2	29	Sound	14	501815	0	2			0		other	0
PPN5_18mei_A2	31	Sound	14	525215	0	2			0		other	0
PPN5_18mei_A2	33	Sound	18	548614	0	2			0		other	0
PPN5_18mei_A2	35	Sound	14	571914	0	2			0		other	0
PPN5_18mei_A2	37	Sound	14	595314	0	2			0		other	0
PPN5_18mei_A2	39	Sound	14	618714	0	2			0		other	0
PPN5_18mei_A2	41	Sound	18	642113	0	2			0		other	0
PPN5_18mei_A2	43	Sound	14	666212	0	2			0		other	0
PPN5_18mei_A2	45	Sound	18	689611	0	2			0		other	0
PPN5_18mei_A2	47	Sound	14	713411	0	2			0		other	0
PPN5_18mei_A2	49	Sound	18	736810	0	2			0		other	0
PPN5_18mei_A2	51	Sound	14	759211	0	2			0		other	0
PPN5_18mei_A2	53	Sound	14	782610	0	2			0		other	0
PPN5_18mei_A2	55	Sound	14	806009	0	2			0		other	0
PPN5_18mei_A2	57	Sound	14	829409	0	2			0		other	0
PPN5_18mei_A2	59	Sound	14	852808	0	2			0		other	0
PPN5_18mei_A2	61	Sound	14	876207	0	2			0		other	0
PPN5_18mei_A2	63	Sound	14	899606	0	2			0		other	0
PPN5_18mei_A2	65	Sound	14	923006	0	2			0		other	0
PPN5_18mei_A2	67	Sound	14	946406	0	2			0		other	0
PPN5_18mei_A2	69	Sound	14	969806	0	2			0		other	0
PPN5_18mei_A2	71	Sound	14	993205	0	2			0		other	0
PPN5_18mei_A2	73	Sound	16	1016604	0	2			0		other	0
PPN5_18mei_A2	75	Sound	14	1040004	0	2			0		other	0
PPN5_18mei_A2	77	Sound	14	1063402	0	2			0		other	0
PPN5_18mei_A2	79	Sound	14	1086802	0	2			0		other	0
PPN5_18mei_A2	81	Sound	16	1110203	0	2			0		other	0
PPN5_18mei_A2	83	Sound	14	1133602	0	2			0		other	0
PPN5_18mei_A2	85	Sound	14	1157001	0	2			0		other	0
PPN5_18mei_A2	87	Sound	14	1180401	0	2			0		other	0
PPN5_18mei_A2	89	Sound	16	1203800	0	2			0		other	0
PPN5_18mei_A2	91	Sound	14	1227199	0	2			0		other	0
PPN5_18mei_A2	93	Sound	18	1250598	0	2			0		other	0
PPN5_18mei_A2	95	Sound	14	1273998	0	2			0		other	0
PPN5_18mei_A2	97	Sound	14	1297398	0	2			0		other	0
PPN5_18mei_A2	99	Sound	14	1320798	0	2			0		other	0
PPN5_18mei_A2	101	Sound	14	1344197	0	2			0		other	0
PPN5_18mei_A2	103	Sound	14	1367596	0	2			0		other	0
PPN5_18mei_A2	105	Sound	16	1390996	0	2			0		other	0
PPN5_18mei_A2	107	Sound	14	1414396	0	2			0		other	0
PPN5_18mei_A2	109	Sound	14	1437794	0	2			0		other	0
PPN5_18mei_A2	111	Sound	14	1461195	0	2			0		other	0
PPN5_18mei_A2	113	Sound	14	1484594	0	2			0		other	0
PPN5_18mei_A2	115	Sound	14	1507994	0	2			0		other	0
PPN5_18mei_A2	117	Sound	16	1531393	0	2			0		other	0
PPN5_18mei_A2	119	Sound	14	1554792	0	2			0		other	0
PPN5_18mei_A2	121	Sound	18	1578192	0	2			0		other	0
PPN5_18mei_A2	123	Sound	14	1602291	0	2			0		other	0
