Scenario - oddball3
Logfile written - 05/09/2016 12:06:01

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

DJ-9mei-auto1	1	Sound	14	171130	0	2			0		other	0
DJ-9mei-auto1	3	Sound	14	194464	0	2			0		other	0
DJ-9mei-auto1	5	Sound	14	217864	0	2			0		other	0
DJ-9mei-auto1	7	Sound	18	241263	0	2			0		other	0
DJ-9mei-auto1	9	Sound	14	265163	0	2			0		other	0
DJ-9mei-auto1	11	Sound	14	288562	0	2			0		other	0
DJ-9mei-auto1	13	Sound	14	311962	0	2			0		other	0
DJ-9mei-auto1	15	Sound	14	335363	0	2			0		other	0
DJ-9mei-auto1	17	Sound	14	358762	0	2			0		other	0
DJ-9mei-auto1	19	Sound	14	382162	0	2			0		other	0
DJ-9mei-auto1	21	Sound	14	405562	0	2			0		other	0
DJ-9mei-auto1	23	Sound	18	428961	0	2			0		other	0
DJ-9mei-auto1	25	Sound	14	452260	0	2			0		other	0
DJ-9mei-auto1	27	Sound	16	475660	0	2			0		other	0
DJ-9mei-auto1	28	Response	1	480152	1191	1
DJ-9mei-auto1	29	Sound	14	498970	0	2			0		other	0
DJ-9mei-auto1	31	Sound	16	522361	0	2			0		other	0
DJ-9mei-auto1	32	Response	1	528829	3068	1
DJ-9mei-auto1	33	Sound	14	545770	0	2			0		other	0
DJ-9mei-auto1	35	Sound	14	569161	0	2			0		other	0
DJ-9mei-auto1	37	Sound	14	592559	0	2			0		other	0
DJ-9mei-auto1	39	Sound	14	615959	0	2			0		other	0
DJ-9mei-auto1	41	Sound	14	639359	0	2			0		other	0
DJ-9mei-auto1	43	Sound	16	662759	0	2			0		other	0
DJ-9mei-auto1	44	Response	1	666976	818	1
DJ-9mei-auto1	45	Sound	14	686167	0	2			0		other	0
DJ-9mei-auto1	47	Sound	16	709559	0	2			0		other	0
DJ-9mei-auto1	48	Response	1	715170	2212	1
DJ-9mei-auto1	49	Sound	14	732967	0	2			0		other	0
DJ-9mei-auto1	51	Sound	14	756358	0	2			0		other	0
DJ-9mei-auto1	53	Sound	14	779757	0	2			0		other	0
DJ-9mei-auto1	55	Sound	14	803157	0	2			0		other	0
DJ-9mei-auto1	57	Sound	14	826557	0	2			0		other	0
DJ-9mei-auto1	59	Sound	14	849957	0	2			0		other	0
DJ-9mei-auto1	61	Sound	14	873358	0	2			0		other	0
DJ-9mei-auto1	63	Sound	14	896757	0	2			0		other	0
DJ-9mei-auto1	65	Sound	14	920157	0	2			0		other	0
DJ-9mei-auto1	67	Sound	14	943556	0	2			0		other	0
DJ-9mei-auto1	69	Sound	14	966956	0	2			0		other	0
DJ-9mei-auto1	71	Sound	14	990355	0	2			0		other	0
DJ-9mei-auto1	72	Response	1	995380	1625	2
DJ-9mei-auto1	73	Sound	14	1013764	0	2			0		other	0
DJ-9mei-auto1	75	Sound	14	1037155	0	2			0		other	0
DJ-9mei-auto1	77	Sound	14	1060555	0	2			0		other	0
DJ-9mei-auto1	79	Sound	14	1083955	0	2			0		other	0
DJ-9mei-auto1	81	Sound	14	1107354	0	2			0		other	0
DJ-9mei-auto1	83	Sound	18	1130754	0	2			0		other	0
DJ-9mei-auto1	85	Sound	14	1154754	0	2			0		other	0
DJ-9mei-auto1	87	Sound	14	1178153	0	2			0		other	0
DJ-9mei-auto1	89	Sound	14	1201554	0	2			0		other	0
DJ-9mei-auto1	91	Sound	16	1224953	0	2			0		other	0
DJ-9mei-auto1	92	Response	1	1229536	1183	2
DJ-9mei-auto1	93	Sound	14	1248362	0	2			0		other	0
DJ-9mei-auto1	95	Sound	16	1271753	0	2			0		other	0
DJ-9mei-auto1	96	Response	1	1279891	4739	1
DJ-9mei-auto1	97	Sound	14	1295161	0	2			0		other	0
DJ-9mei-auto1	99	Sound	14	1318552	0	2			0		other	0
DJ-9mei-auto1	101	Sound	14	1341952	0	2			0		other	0
DJ-9mei-auto1	103	Sound	16	1365351	0	2			0		other	0
DJ-9mei-auto1	104	Response	1	1370084	1432	1
DJ-9mei-auto1	105	Sound	14	1388661	0	2			0		other	0
DJ-9mei-auto1	107	Sound	18	1412051	0	2			0		other	0
DJ-9mei-auto1	109	Sound	14	1436052	0	2			0		other	0
DJ-9mei-auto1	111	Sound	18	1459451	0	2			0		other	0
DJ-9mei-auto1	113	Sound	14	1483551	0	2			0		other	0
DJ-9mei-auto1	115	Sound	14	1506950	0	2			0		other	0
DJ-9mei-auto1	117	Sound	14	1530350	0	2			0		other	0
DJ-9mei-auto1	119	Sound	14	1553750	0	2			0		other	0
DJ-9mei-auto1	121	Sound	14	1577149	0	2			0		other	0
DJ-9mei-auto1	123	Sound	14	1600550	0	2			0		other	0
DJ-9mei-auto1	125	Sound	14	1623950	0	2			0		other	0
DJ-9mei-auto1	127	Sound	18	1647349	0	2			0		other	0
DJ-9mei-auto1	129	Sound	14	1670749	0	2			0		other	0
DJ-9mei-auto1	131	Sound	14	1694148	0	2			0		other	0
DJ-9mei-auto1	133	Sound	14	1717548	0	2			0		other	0
DJ-9mei-auto1	135	Sound	14	1740948	0	2			0		other	0
